Ozone,Solar.R,Wind,Temp,Month,Day,date,Date
41.0,190.0,7.4,67,5,1,2016-05-01,2016-05-01
36.0,118.0,8.0,72,5,2,2016-05-02,2016-05-02
12.0,149.0,12.6,74,5,3,2016-05-03,2016-05-03
18.0,313.0,11.5,62,5,4,2016-05-04,2016-05-04
,,14.3,56,5,5,2016-05-05,2016-05-05
28.0,,14.9,66,5,6,2016-05-06,2016-05-06
23.0,299.0,8.6,65,5,7,2016-05-07,2016-05-07
19.0,99.0,13.8,59,5,8,2016-05-08,2016-05-08
8.0,19.0,20.1,61,5,9,2016-05-09,2016-05-09
,194.0,8.6,69,5,10,2016-05-10,2016-05-10
7.0,,6.9,74,5,11,2016-05-11,2016-05-11
16.0,256.0,9.7,69,5,12,2016-05-12,2016-05-12
11.0,290.0,9.2,66,5,13,2016-05-13,2016-05-13
14.0,274.0,10.9,68,5,14,2016-05-14,2016-05-14
18.0,65.0,13.2,58,5,15,2016-05-15,2016-05-15
14.0,334.0,11.5,64,5,16,2016-05-16,2016-05-16
34.0,307.0,12.0,66,5,17,2016-05-17,2016-05-17
6.0,78.0,18.4,57,5,18,2016-05-18,2016-05-18
30.0,322.0,11.5,68,5,19,2016-05-19,2016-05-19
11.0,44.0,9.7,62,5,20,2016-05-20,2016-05-20
1.0,8.0,9.7,59,5,21,2016-05-21,2016-05-21
11.0,320.0,16.6,73,5,22,2016-05-22,2016-05-22
4.0,25.0,9.7,61,5,23,2016-05-23,2016-05-23
32.0,92.0,12.0,61,5,24,2016-05-24,2016-05-24
,66.0,16.6,57,5,25,2016-05-25,2016-05-25
,266.0,14.9,58,5,26,2016-05-26,2016-05-26
,,8.0,57,5,27,2016-05-27,2016-05-27
23.0,13.0,12.0,67,5,28,2016-05-28,2016-05-28
45.0,252.0,14.9,81,5,29,2016-05-29,2016-05-29
115.0,223.0,5.7,79,5,30,2016-05-30,2016-05-30
37.0,279.0,7.4,76,5,31,2016-05-31,2016-05-31
,286.0,8.6,78,6,1,2016-06-01,2016-06-01
,287.0,9.7,74,6,2,2016-06-02,2016-06-02
,242.0,16.1,67,6,3,2016-06-03,2016-06-03
,186.0,9.2,84,6,4,2016-06-04,2016-06-04
,220.0,8.6,85,6,5,2016-06-05,2016-06-05
,264.0,14.3,79,6,6,2016-06-06,2016-06-06
29.0,127.0,9.7,82,6,7,2016-06-07,2016-06-07
,273.0,6.9,87,6,8,2016-06-08,2016-06-08
71.0,291.0,13.8,90,6,9,2016-06-09,2016-06-09
39.0,323.0,11.5,87,6,10,2016-06-10,2016-06-10
,259.0,10.9,93,6,11,2016-06-11,2016-06-11
,250.0,9.2,92,6,12,2016-06-12,2016-06-12
23.0,148.0,8.0,82,6,13,2016-06-13,2016-06-13
,332.0,13.8,80,6,14,2016-06-14,2016-06-14
,322.0,11.5,79,6,15,2016-06-15,2016-06-15
21.0,191.0,14.9,77,6,16,2016-06-16,2016-06-16
37.0,284.0,20.7,72,6,17,2016-06-17,2016-06-17
20.0,37.0,9.2,65,6,18,2016-06-18,2016-06-18
12.0,120.0,11.5,73,6,19,2016-06-19,2016-06-19
13.0,137.0,10.3,76,6,20,2016-06-20,2016-06-20
,150.0,6.3,77,6,21,2016-06-21,2016-06-21
,59.0,1.7,76,6,22,2016-06-22,2016-06-22
,91.0,4.6,76,6,23,2016-06-23,2016-06-23
,250.0,6.3,76,6,24,2016-06-24,2016-06-24
,135.0,8.0,75,6,25,2016-06-25,2016-06-25
,127.0,8.0,78,6,26,2016-06-26,2016-06-26
,47.0,10.3,73,6,27,2016-06-27,2016-06-27
,98.0,11.5,80,6,28,2016-06-28,2016-06-28
,31.0,14.9,77,6,29,2016-06-29,2016-06-29
,138.0,8.0,83,6,30,2016-06-30,2016-06-30
135.0,269.0,4.1,84,7,1,2016-07-01,2016-07-01
49.0,248.0,9.2,85,7,2,2016-07-02,2016-07-02
32.0,236.0,9.2,81,7,3,2016-07-03,2016-07-03
,101.0,10.9,84,7,4,2016-07-04,2016-07-04
64.0,175.0,4.6,83,7,5,2016-07-05,2016-07-05
40.0,314.0,10.9,83,7,6,2016-07-06,2016-07-06
77.0,276.0,5.1,88,7,7,2016-07-07,2016-07-07
97.0,267.0,6.3,92,7,8,2016-07-08,2016-07-08
97.0,272.0,5.7,92,7,9,2016-07-09,2016-07-09
85.0,175.0,7.4,89,7,10,2016-07-10,2016-07-10
,139.0,8.6,82,7,11,2016-07-11,2016-07-11
10.0,264.0,14.3,73,7,12,2016-07-12,2016-07-12
27.0,175.0,14.9,81,7,13,2016-07-13,2016-07-13
,291.0,14.9,91,7,14,2016-07-14,2016-07-14
7.0,48.0,14.3,80,7,15,2016-07-15,2016-07-15
48.0,260.0,6.9,81,7,16,2016-07-16,2016-07-16
35.0,274.0,10.3,82,7,17,2016-07-17,2016-07-17
61.0,285.0,6.3,84,7,18,2016-07-18,2016-07-18
79.0,187.0,5.1,87,7,19,2016-07-19,2016-07-19
63.0,220.0,11.5,85,7,20,2016-07-20,2016-07-20
16.0,7.0,6.9,74,7,21,2016-07-21,2016-07-21
,258.0,9.7,81,7,22,2016-07-22,2016-07-22
,295.0,11.5,82,7,23,2016-07-23,2016-07-23
80.0,294.0,8.6,86,7,24,2016-07-24,2016-07-24
108.0,223.0,8.0,85,7,25,2016-07-25,2016-07-25
20.0,81.0,8.6,82,7,26,2016-07-26,2016-07-26
52.0,82.0,12.0,86,7,27,2016-07-27,2016-07-27
82.0,213.0,7.4,88,7,28,2016-07-28,2016-07-28
50.0,275.0,7.4,86,7,29,2016-07-29,2016-07-29
64.0,253.0,7.4,83,7,30,2016-07-30,2016-07-30
59.0,254.0,9.2,81,7,31,2016-07-31,2016-07-31
39.0,83.0,6.9,81,8,1,2016-08-01,2016-08-01
9.0,24.0,13.8,81,8,2,2016-08-02,2016-08-02
16.0,77.0,7.4,82,8,3,2016-08-03,2016-08-03
78.0,,6.9,86,8,4,2016-08-04,2016-08-04
35.0,,7.4,85,8,5,2016-08-05,2016-08-05
66.0,,4.6,87,8,6,2016-08-06,2016-08-06
122.0,255.0,4.0,89,8,7,2016-08-07,2016-08-07
89.0,229.0,10.3,90,8,8,2016-08-08,2016-08-08
110.0,207.0,8.0,90,8,9,2016-08-09,2016-08-09
,222.0,8.6,92,8,10,2016-08-10,2016-08-10
,137.0,11.5,86,8,11,2016-08-11,2016-08-11
44.0,192.0,11.5,86,8,12,2016-08-12,2016-08-12
28.0,273.0,11.5,82,8,13,2016-08-13,2016-08-13
65.0,157.0,9.7,80,8,14,2016-08-14,2016-08-14
,64.0,11.5,79,8,15,2016-08-15,2016-08-15
22.0,71.0,10.3,77,8,16,2016-08-16,2016-08-16
59.0,51.0,6.3,79,8,17,2016-08-17,2016-08-17
23.0,115.0,7.4,76,8,18,2016-08-18,2016-08-18
31.0,244.0,10.9,78,8,19,2016-08-19,2016-08-19
44.0,190.0,10.3,78,8,20,2016-08-20,2016-08-20
21.0,259.0,15.5,77,8,21,2016-08-21,2016-08-21
9.0,36.0,14.3,72,8,22,2016-08-22,2016-08-22
,255.0,12.6,75,8,23,2016-08-23,2016-08-23
45.0,212.0,9.7,79,8,24,2016-08-24,2016-08-24
